open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1775001600000,2104.48,2105.45,2099.19,2103.80,17618.795,1775001899999,37049438.85465,30341,7075.019,14879515.62889,0
1775001900000,2103.80,2105.91,2101.70,2104.00,8425.244,1775002199999,17728554.31399,18218,4293.678,9034828.18312,0
1775002200000,2104.01,2104.07,2100.29,2101.47,6111.094,1775002499999,12843205.05189,13558,2441.996,5132084.08961,0
1775002500000,2101.47,2106.73,2101.44,2103.24,9253.830,1775002799999,19479297.62201,18662,5767.019,12141184.29877,0
1775002800000,2103.24,2104.47,2096.02,2098.86,9903.594,1775003099999,20792019.43638,19673,3613.545,7586863.24752,0
1775003100000,2098.87,2100.46,2097.96,2100.44,8279.607,1775003399999,17379087.56718,18364,4773.404,10019789.24055,0
1775003400000,2100.43,2102.10,2095.60,2097.36,8880.767,1775003699999,18635149.25880,18243,4028.616,8453919.06726,0
1775003700000,2097.36,2099.50,2097.10,2098.80,4992.280,1775003999999,10475543.19225,13321,2813.946,5904382.09227,0
1775004000000,2098.81,2102.65,2098.81,2102.65,3441.122,1775004299999,7228047.57316,9241,2293.845,4818195.10216,0
1775004300000,2102.65,2103.30,2099.48,2102.83,3633.822,1775004599999,7636614.20468,9925,1863.705,3916562.64876,0
1775004600000,2102.82,2117.44,2102.82,2112.37,48622.619,1775004899999,102642221.39909,64910,32140.624,67848529.98637,0
1775004900000,2112.37,2114.59,2109.23,2113.91,24711.377,1775005199999,52198223.72030,34896,14196.107,29990376.85468,0
1775005200000,2113.92,2115.00,2107.30,2109.67,16476.826,1775005499999,34779841.26285,35426,5807.566,12259582.12688,0
1775005500000,2109.67,2109.71,2103.44,2106.59,11517.203,1775005799999,24250823.15976,24614,3825.699,8055886.09610,0
1775005800000,2106.60,2107.92,2105.47,2106.24,5412.620,1775006099999,11402548.50430,12317,2488.047,5241411.88901,0
1775006100000,2106.24,2106.25,2100.24,2100.77,11195.089,1775006399999,23542024.20345,21651,3667.880,7712682.47636,0
1775006400000,2100.76,2101.67,2098.53,2100.08,8196.982,1775006699999,17214730.36440,13124,3773.313,7924962.15261,0
1775006700000,2100.08,2100.91,2098.57,2098.66,8126.287,1775006999999,17061577.15421,12463,3932.847,8257079.08950,0
1775007000000,2098.66,2101.50,2093.17,2095.00,13461.389,1775007299999,28238816.49576,21874,6223.489,13061746.71039,0
1775007300000,2095.01,2096.89,2090.00,2093.77,20543.424,1775007599999,43006841.17727,37081,9525.621,19945349.50108,0
1775007600000,2093.78,2096.09,2092.09,2095.84,7941.131,1775007899999,16626978.92749,15784,4028.914,8436557.48612,0
